,Name,Total board members,Number of women board members,% women board members,Total number of executive board members,Number of women executive board members,% women over total executive board members,Total numberof proprietary board members,Number of women proprietary board members,% women over total proprietary board members,Total number of independent board members ,Number of women independent board members,% women over total independent board members,Total number of other external board members,Number of women other external board members,% women over total other external board members,Number of key executives no members of the board,Number of women key executives no members of the board,% total women key executives no members of the board
0,Acciona,11,3,0.272727272727273,2,0,0,2,0,0,6,2,0.333333333333333,1,1,1,40,4,0.1
1,Acerinox,15,3,0.2,1,0,0,6,0,0,8,3,0.375,0,0,0,7,0,0
2,Grupo ACS,18,3,0.166666666666667,5,0,0,4,1,0.25,5,2,0.4,4,0,0,49,5,0.102040816326531
3,Aena,15,3,0.2,1,0,0,8,3,0.375,6,0,0,0,0,0,10,2,0.2
4,Amadeus,11,2,0.181818181818182,1,0,0,0,0,0,8,2,0.25,2,0,0,11,3,0.272727272727273
5,BBVA,15,4,0.266666666666667,3,0,0,0,0,0,8,3,0.375,4,1,0.25,15,4,0.266666666666667
6,Banco Sabadell,15,3,0.2,4,1,0.25,1,0,0,10,2,0.2,0,0,0,9,1,0.111111111111111
7,Banco Santander,15,5,0.333333333333333,3,1,0.333333333333333,0,0,0,9,4,0.444444444444444,3,0,0,18,4,0.222222222222222
8,Bankia,12,2,0.166666666666667,4,0,0,0,0,0,8,2,0.25,0,0,0,6,1,0.166666666666667
9,Bankinter,10,3,0.3,2,1,0.5,2,0,0,5,2,0.4,1,0,0,9,3,0.333333333333333
10,Caixabank,18,5,0.277777777777778,1,0,0,8,2,0.25,9,3,0.333333333333333,0,0,0,10,2,0.2
11,Cellnex Telecom,12,4,0.333333333333333,1,0,0,4,1,0.25,7,3,0.428571428571429,0,0,0,8,1,0.125
12,CIE Automotive,13,2,0.153846153846154,2,0,0,9,2,0.222222222222222,2,0,0,0,0,0,10,3,0.3
13,Enagas,13,3,0.230769230769231,2,0,0,2,0,0,7,3,0.428571428571429,2,0,0,10,3,0.3
14,Ence Energia Y Celulosa,14,2,0.142857142857143,1,0,0,5,0,0,5,2,0.4,3,0,0,11,2,0.181818181818182
15,Endesa,11,2,0.181818181818182,2,0,0,4,1,0.25,5,1,0.2,0,0,0,17,1,0.0588235294117647
16,Ferrovial,12,2,0.166666666666667,2,0,0,2,1,0.5,6,1,0.166666666666667,2,0,0,12,2,0.166666666666667
17,Fomento De Construcciones Y Contratas,15,4,0.266666666666667,2,0,0,10,4,0.4,3,0,0,0,0,0,4,0,0
18,Grifols,13,4,0.307692307692308,2,0,0,1,0,0,7,4,0.571428571428571,3,0,0,20,2,0.1
19,Iberdrola,14,5,0.357142857142857,2,0,0,0,0,0,9,4,0.444444444444444,3,1,0.333333333333333,5,1,0.2
20,Indra,13,3,0.230769230769231,3,1,0.333333333333333,3,0,0,7,2,0.285714285714286,0,0,0,13,1,0.0769230769230769
21,Inditex,9,3,0.333333333333333,1,0,0,3,1,0.333333333333333,5,2,0.4,0,0,0,22,5,0.227272727272727
22,Inmobiliaria Colonial,11,1,0.0909090909090909,2,0,0,5,0,0,4,1,0.25,0,0,0,4,2,0.5
23,IAG,12,4,0.333333333333333,2,0,0,0,0,0,10,4,0.4,0,0,0,10,2,0.2
24,Mapfre,14,4,0.285714285714286,5,0,0,3,0,0,6,4,0.666666666666667,0,0,0,7,2,0.285714285714286
25,Mediaset España,13,4,0.307692307692308,3,0,0,5,1,0.2,4,3,0.75,1,0,0,20,3,0.15
26,Melia Hotels,11,2,0.181818181818182,1,0,0,4,1,0.25,5,1,0.2,1,0,0,5,1,0.2
27,Merlin Properties,12,4,0.333333333333333,2,0,0,2,1,0.5,8,3,0.375,0,0,0,6,0,0
28,Naturgy,12,1,0.0833333333333333,1,0,0,6,0,0,5,1,0.2,0,0,0,16,1,0.0625
29,Red Electrica,12,5,0.416666666666667,1,0,0,3,2,0.666666666666667,7,3,0.428571428571429,1,0,0,2,1,0.5
30,Repsol,15,3,0.2,2,0,0,3,0,0,8,3,0.375,2,0,0,11,3,0.272727272727273
31,Siemens Gamesa,13,6,0.461538461538462,2,0,0,6,4,0.666666666666667,5,2,0.4,0,0,0,7,0,0
32,Tecnicas Reunidas,14,1,0.0714285714285714,2,0,0,2,0,0,6,1,0.166666666666667,4,0,0,11,2,0.181818181818182
33,Telefonica,17,3,0.176470588235294,2,0,0,5,0,0,9,3,0.333333333333333,1,0,0,5,1,0.2
34,Viscofan,10,2,0.2,2,0,0,2,0,0,4,1,0.25,2,1,0.5,24,3,0.125
